name,description,datasheet,sample,analysis,included,excluded,quality_control,license,intended_uses,prohibited_uses,monitoring,feedback,training_emissions,training_time,training_hardware,adaptation,output_space,terms_of_service,monthly_active_users,user_distribution,failures,type_id,organization_id,created_date_id,link_type_id,modality_id,size_id,dependencies_id,access_id,model_type_id
CLIP,"""CLIP (Contrastive Language-Image Pre-Training) is a neural network trained on a variety of (image, text) pairs. It can be instructed in natural language to predict the most relevant text snippet, given an image, without directly optimizing for the task, similarly to the zero-shot capabilities of GPT-2 and 3. We found CLIP matches the performance of the original ResNet50 on ImageNet “zero-shot” without using any of the original 1.28M labeled examples, overcoming several major challenges in computer vision"" [[CLIP Repository]](https://github.com/openai/CLIP).
",,,"The model was evaluated on standard vision datasets (e.g. CIFAR10, ImageNet) and showed robust state of the art results.",,,"The authors found that the performance of the model depended heavily on which classes are included (and excluded) for a given task. They reported significant race and gender based disparities on the Fairface dataset, depending on how the classes were constructed. The authors also demonstrated that the model was capable of racial profiling with high accuracy [[Section 7]](https://arxiv.org/pdf/2103.00020.pdf#section.7).
",MIT,"The model is intended to be used by AI researchers to better understand ""robustness, generalization, and other capabilities, biases, and constraints of computer vision models"" [[CLIP Model Card]](https://github.com/openai/CLIP/blob/main/model-card.md).
","""Any deployed use case of the model - whether commercial or not - is currently out of scope. Non-deployed use cases such as image search in a constrained environment, are also not recommended unless there is thorough in-domain testing of the model with a specific, fixed class taxonomy. This is because our safety assessment demonstrated a high need for task specific testing especially given the variability of CLIP’s performance with different class taxonomies. This makes untested and unconstrained deployment of the model in any use case currently potentially harmful.
Certain use cases which would fall under the domain of surveillance and facial recognition are always out-of-scope regardless of performance of the model. This is because the use of artificial intelligence for tasks such as these can be premature currently given the lack of testing norms and checks to ensure its fair use.
Since the model has not been purposefully trained in or evaluated on any languages other than English, its use should be limited to English language use cases"" [[Model Card]](https://github.com/openai/CLIP/blob/main/model-card.mdlicen).
",,Questions can be shared at the feedback form linked in the CLIP model card [[Model Card]](https://github.com/openai/CLIP/blob/main/model-card.mdlicen).,unknown,71.12 petaflop/s-day,NVIDIA V100 GPUs,,,,,,,2,126,13,4,28,198,22,2,1
DALL·E,"DALL·E is a GPT-3 based model trained to generate images from text descriptions. The authors found that it had ""a diverse set of capabilities, including creating anthropomorphized versions of animals and objects, combining unrelated concepts in plausible ways, rendering text, and applying transformations to existing images"" [[OpenAI Blog Post]](https://openai.com/blog/dall-e/).
",,,"The model was evaluated against three prior approaches, AttnGAN, DM-GAN, and DF-GAN using Inception Score and Fréchet Inception Distance on MS-COCO as metrics. The model was also evaluated by humans and received the majority of the votes in generating images that look realistic and better match the caption when compared to the images generated by DF-GAN [[Section]](https://arxiv.org/pdf/2102.12092.pdf#section.3).
",,,unknown,unknown,"""The model is intended for others to use for training their own generative models"" [[Model Card]](https://github.com/openai/DALL-E/blob/master/model_card.md).
",unknown,,"Contact the paper author(s) specified on the paper [[Paper]](https://arxiv.org/pdf/2102.12092.pdf).
",unknown,unknown,NVIDIA V100 GPUs,,,,,,,2,126,13,4,53,31,60,1,1
Jukebox,Jukebox is a generative model that produces music,,,Evaluations in paper are primarily considering the fidelity and novelty of samples from Jukebox.,,,,Noncommercial Use License,,,,,unknown,4 weeks,510 V100s,,,,,,,2,126,9,3,48,156,122,2,4
DALL·E 2,"""DALL·E 2 is an artificial intelligence model that takes a text prompt and/or existing image as an input and generates a new image as an output"" [[System Card]] (https://github.com/openai/dalle-2-preview/blob/main/system-card.md). The model wasn't fully released, but OpenAI released a version of the model (DALL·E 2 Preview) to a select group of testers.
",,,The model is capable of generating explicit content and the researchers found limited amount of spurious content generated. The researchers also found that visual synonyms can be used to prompt the model to surface unwanted generations [[Probes and Evaluations]] (https://github.com/openai/dalle-2-preview/blob/main/system-card.md#probes-and-evaluations).,,,The model is not fully released to the public as part of a quality control measure. The usage of the model by testers is monitored and user provided prompts are filtered [[Input filters]] (https://github.com/openai/dalle-2-preview/blob/main/system-card.md#input-filters).,unknown,"""The intended use of the DALL·E 2 Preview at this time is for personal, non-commercial exploration and research purposes by people who are interested in understanding the potential uses of these capabilities"" [[Use]] (https://github.com/openai/dalle-2-preview/blob/main/system-card.md#use).
","Use of the model is governed by the OpenAI Content Policy, which prohibits posting of G rated content. Users are not allowed to utilize the model in commercial products in the preview version [[Content Policy]] (https://github.com/openai/dalle-2-preview/blob/main/system-card.md#policies-and-enforcement).","Uses of the model are monitored. In the preview version, any user can flag content. The specific policies for monitoring are not disclosed, but possible measures include disabling of accounts violating the content policies [[Monitoring and Reporting]] (https://github.com/openai/dalle-2-preview/blob/main/system-card.md#monitoring-and-reporting).
'",Feedback can be provided at support at openai.com.,unknown,unknown,unknown,,,,,,,2,126,54,3,53,198,59,1,1
OpenAI API,"OpenAI API is a general purpose ""text in, text out"" interface connecting users with a suite of language models. The API was initially released as a gateway to GPT-3, but it now supports access to other, more specialized OpenAI models. [[Open AI Blog Post]](https://openai.com/blog/openai-api/)
",,,,,,"Given a prompt, OpenAI API checks whether a completion contains unsafe language using its filters and marks the completion accordingly if so. The API also provides developers with special endpoints that scope the API usage. OpenAI also developed user guidelines to help developers understand safety issues [[OpenAI API]](https://openai.com/api/).
",custom,"OpenAI API was designed to be used by developers to empower applications, and researchers to study language models [[Section 3]](https://openai.com/api/policies/terms/).
","OpenAI API Terms of Use prohibits the use of the API in a way violating the applicable law, including: (i) ""Illegal activities, such as child pornography, gambling, cybercrime, piracy, violating copyright, trademark or other intellectual property laws""; (ii) ""Accessing or authorizing anyone to access the APIs from an embargoed country, region, or territory as prohibited by the U.S. government""; (iii) ""Threatening, stalking, defaming, defrauding, degrading, victimizing or intimidating anyone for any reason"". The usage requirements are detailed in the Terms of Use [[Section 3]](https://openai.com/api/policies/terms/).
","OpenAI may monitor the API use to ensure ""quality and improve OpenAI systems, products and services; perform research; and ensure compliance"" with the Terms of Service and all applicable laws. Users of the API will give OpenAI reasonable access to their application to monitor compliance with the terms listed in the Terms of Service [[Section 5(b)]](https://openai.com/api/policies/terms/). Apps using the OpenAI API should submit an application once they are deployed to real users. The review form takes 10 minutes to complete and over 97% of the applications are directly accepted or conditionally accepted. The applicants are notified of the decision within 2 business days [[App Review Guidelines]] (https://beta.openai.com/docs/usage-guidelines/app-review).
",unknown,,,,The API exposes the models fairly direclty with a range of hyperparameters (e.g. temperature scaling).,"Given a prompting text, the OpenAI API provides access to text completions, and log probabilities. The support for text and code embeddings were added on 2022-01-25 [[OpenAI Blog Post]] (https://openai.com/blog/introducing-text-and-code-embeddings/).
",https://openai.com/api/policies/terms/,unknown,unknown,unknown,0,126,10,3,-1,-1,85,1,4
VPT,,,,,,,,MIT,,,,,,,,,,,,,,2,126,70,3,72,142,301,2,4
web_clean,,,[],,,,,unknown,,,,,,,,,,,,,,1,126,70,3,69,176,302,0,4
ChatGPT,ChatGPT is an artificial intelligence chatbot developed by OpenAI.,,,,,,,custom,,,,,,,,,,,100M,,,0,126,102,0,-1,-1,292,1,4
gpt-3.5-turbo,,,,,,,,custom,,,,,,,,,,,,,,2,126,129,3,62,198,291,1,4
GPT-4 Turbo,GPT-4 Turbo is a more capable version of GPT-4 and has knowledge of world events up to April 2023. It has a 128k context window so it can fit the equivalent of more than 300 pages of text in a single prompt.,,,,,,,custom,,,unknown,,unknown,unknown,unknown,,,,,,,2,126,231,3,62,198,302,1,4
gpt-3.5-turbo dataset,,,[],,,,,unknown,,,,,,,,,,,,,,1,126,129,3,37,198,302,1,4
code-davinci-002 dataset,,,[],,,,,unknown,,,,,,,,,,,,,,1,126,61,3,12,198,302,1,4
code-davinci-002,,,,,,,,unknown,,,,,,,,,,,,,,2,126,61,3,51,198,288,1,4
text-davinci-002,,,,,,,,unknown,,,,,,,,,,,,,,2,126,61,3,62,198,289,1,4
text-davinci-003,,,,,,,,unknown,,,,,,,,,,,,,,2,126,102,3,62,198,298,1,4
Whisper API,API to query OpenAI's Whisper model.,,,,,,,custom,,,,,,,,,,,,,,0,126,129,0,-1,-1,275,2,4
ChatGPT API,API to query OpenAI's ChatGPT model.,,,,,,,custom,,,,,,,,,,,,,,0,126,129,0,-1,-1,35,2,4
OpenAI Moderation API,This endpoint provides OpenAI API developers with free access to GPT-based classifiers that detect undesired content—an instance of using AI systems to assist with human supervision of these systems.,,,,,,,custom,,,,,,,,,,,,,,0,126,74,0,-1,-1,195,2,4
OpenAI toxicity classifier,,,,,,,,unknown,,,,,,,,,,,,,,2,126,113,3,62,198,196,0,4
OpenAI toxicity dataset,,,[],,,,,unknown,,,,,,,,,,,,,,1,126,113,3,37,198,302,0,4
Sage API,A chatbot language model available via Quora's Poe,,,,,,,unknown,,,,,,,,,,,,,,0,126,118,0,-1,-1,234,1,4
Dragonfly API,A chatbot language model available via Quora's Poe,,,,,,,unknown,,,,,,,,,,,,,,0,126,118,0,-1,-1,64,1,4
Sage,A chatbot language model available via Quora's Poe,,,,,,,unknown,,,,,,,,,,,,,,2,126,118,0,62,198,302,1,4
Dragonfly,A chatbot language model available via Quora's Poe,,,,,,,unknown,,,,,,,,,,,,,,2,126,118,0,62,198,302,1,4
ChatGPT for Slack,"The app integrates ChatGPT’s powerful AI technology to deliver instant conversation summaries, research tools, and writing assistance directly in Slack to help millions of companies work more productively.",,,,,,,unknown,,,,,,,,,,,,,,0,127,132,3,-1,-1,34,1,4
GPT-4,,,,,,,,unknown,,,,,,,,,,,,,,2,126,137,3,25,198,302,1,4
GPT-4 API,"GPT-4 is OpenAI’s most advanced system, producing safer and more useful responses",,,,,,,custom,,,,,,,,,,,,,,0,126,137,3,-1,-1,95,1,4
ChatGPT Enterprise,"ChatGPT Enterprise offers enterprise-grade security and privacy, unlimited higher-speed GPT-4 access, longer context windows for processing longer inputs, advanced data analysis capabilities, and customization options compared to OpenAI's previous offerings.",,,,,,,custom,,,,,,,,,,https://openai.com/policies/terms-of-use,,,,0,126,197,3,-1,-1,95,1,4
DALL·E 3,"DALL·E 3 is an artificial intelligence model that takes a text prompt and/or existing image as an input and generates a new image as an output The model is now in research preview, and will be available to ChatGPT Plus and Enterprise customers in October.",,,The model is capable of generating explicit content and the researchers found limited amount of spurious content generated.,,,"DALL·E 3 has mitigations to decline requests that ask for a public figure by name. We improved safety performance in risk areas like generation of public figures and harmful biases related to visual over/under-representation, in partnership with red teamers—domain experts who stress-test the model—to help inform our risk assessment and mitigation efforts in areas like propaganda and misinformation.",custom,"The intended use of the DALL·E 3 Preview at this time is for personal, non-commercial exploration and research purposes by people who are interested in understanding the potential uses of these capabilities","Use of the model is governed by the OpenAI Content Policy, which prohibits posting of G rated content. Users are not allowed to utilize the model in commercial products in the preview version.","Uses of the model are monitored. In the preview version, any user can flag content. The specific policies for monitoring are not disclosed, but possible measures include disabling of accounts violating the content",Feedback can be provided at openai.com,unknown,unknown,unknown,,,,,,,2,126,204,3,53,198,58,1,4
